is_shorts,duration_seconds,channel_subscriber_count,channel_view_count,channel_video_count,channel_age_days,video_category_id,video_trending_country,channel_country_int,video_licensed_content,publish_hour,publish_day_of_week,title_length,tag_count,reach_level
0,307.0,575000.0,169905768.0,634.0,3285,8,1,54,0,9,2,37,0,1
0,81.0,227000.0,170323117.0,985.0,2076,4,1,45,1,4,3,22,0,1
1,60.0,210000.0,151916853.0,949.0,2076,4,1,45,1,4,4,30,0,1
0,2068.0,1540000.0,1095139447.0,4391.0,4334,6,1,23,1,7,3,80,1,2
0,2736.0,32900000.0,3589490768.0,182.0,4367,6,0,53,1,6,6,39,1,3
0,502.0,202000.0,96916412.0,2607.0,5083,6,0,45,1,13,4,45,1,1
0,63.0,22900000.0,3738304168.0,333.0,3192,6,1,13,1,9,1,51,1,3
0,304.0,1090000.0,364036366.0,293.0,6356,8,0,20,1,9,2,71,1,1
0,94.0,65200.0,97437821.0,2418.0,727,10,1,53,1,9,0,31,1,1
0,604.0,36400.0,28819881.0,1396.0,3790,10,0,45,1,2,1,69,0,1
0,853.0,174000.0,34025063.0,713.0,1003,6,1,54,1,11,3,55,0,1
0,3346.0,4220000.0,4641869616.0,6515.0,2237,6,0,53,1,3,0,33,1,2
0,9615.0,14300.0,5524086.0,798.0,330,4,1,45,1,14,1,24,0,1
1,56.0,1140000.0,470823528.0,6602.0,4560,7,0,45,1,11,4,39,1,2
0,15307.0,1680000.0,128365289.0,681.0,2884,6,0,53,0,1,6,51,1,3
0,1201.0,14200.0,4649042.0,101.0,700,6,1,45,1,13,0,37,0,1
0,1668.0,43600.0,9574887.0,249.0,997,4,1,18,1,10,3,40,1,1
0,5469.0,259000.0,170508350.0,1516.0,3383,4,0,18,1,15,1,24,1,1
1,60.0,500000.0,487911068.0,14216.0,4641,4,1,45,1,15,4,33,1,2
0,11257.0,8460.0,5721507.0,1921.0,2695,6,0,18,1,18,5,15,1,1
0,201.0,9670000.0,3615344278.0,2210.0,2566,4,1,41,1,13,3,52,1,1
0,172.0,739000.0,218719613.0,355.0,3747,6,0,52,0,12,4,47,0,1
0,617.0,622000.0,264748140.0,2295.0,3998,6,1,45,1,11,3,51,1,1
0,712.0,44000.0,19176524.0,334.0,393,10,1,45,1,10,3,64,0,1
0,10077.0,8520.0,1543823.0,160.0,668,4,0,54,1,16,1,36,0,1
0,608.0,40100.0,7917406.0,748.0,2835,6,1,45,1,18,5,92,0,1
1,60.0,266000.0,103148965.0,122.0,6219,10,1,54,1,7,6,33,0,1
0,17604.0,60700.0,11367442.0,863.0,4984,6,0,18,1,19,6,34,1,1
0,2163.0,149000.0,50393089.0,1886.0,2522,6,1,45,1,14,4,74,1,1
1,43.0,4030000.0,1718134579.0,747.0,1325,4,0,53,1,11,5,38,1,3
1,60.0,130000.0,142216841.0,975.0,862,10,1,18,1,12,3,43,1,1
