video_category_id,video_trending_country,publish_hour,publish_day_of_week,title_length,tag_count,channel_subscriber_count,video_definition,video_licensed_content,channel_have_hidden_subscribers,is_shorts,reach_level
6,0,2,0,66,1,29100.0,1,1,0,0,1
4,1,11,2,99,1,59700.0,1,1,0,0,1
9,1,8,2,91,1,457000.0,1,1,0,0,1
6,1,14,5,38,1,55700.0,1,1,0,0,1
5,1,2,0,41,1,635000.0,1,1,0,0,1
13,0,21,5,58,1,13500000.0,1,1,0,0,3
6,1,9,2,42,1,203000.0,1,1,0,0,1
6,1,9,6,58,1,141000.0,1,1,0,0,1
6,1,8,4,60,0,164000.0,1,1,0,0,1
8,1,2,3,8,1,47800.0,1,1,0,0,1
8,0,21,2,33,1,51600.0,1,1,0,0,2
10,1,3,1,42,1,601000.0,1,1,0,1,1
6,0,12,1,35,1,15700.0,1,1,0,0,1
10,1,1,1,33,1,388000.0,1,1,0,1,1
8,1,12,4,30,0,157000.0,1,1,0,0,2
6,1,9,5,69,1,184000.0,1,1,0,0,1
6,1,4,0,59,0,45900.0,1,1,0,0,1
6,1,10,0,58,0,92300.0,1,1,0,0,1
6,1,3,6,51,1,11100.0,1,1,0,0,1
6,1,17,1,21,1,1290.0,1,1,0,0,1
8,1,11,1,60,0,416000.0,1,1,0,0,1
6,0,7,5,49,0,531000.0,1,1,0,0,1
8,1,16,2,7,1,21.0,1,1,0,0,1
6,1,2,3,67,0,37300.0,1,1,0,0,1
4,1,15,3,20,0,14800.0,1,1,0,0,1
6,0,17,2,45,0,1300000.0,1,1,0,0,2
7,1,10,2,39,0,794000.0,1,1,0,0,2
13,1,3,5,33,0,775000.0,1,1,0,0,2
4,1,10,5,40,1,21000.0,1,1,0,0,1
6,1,16,4,69,1,33500.0,1,1,0,0,1
8,1,10,5,9,1,29200.0,1,1,0,0,1
10,1,10,2,51,1,133000.0,1,1,0,0,1
6,0,10,0,72,1,18000.0,1,1,0,0,1
6,1,14,6,58,1,31900.0,1,1,0,0,1
4,0,18,6,50,1,157000.0,1,1,0,0,1
8,0,13,5,17,1,844000.0,1,1,0,0,1
6,1,10,2,60,1,385000.0,1,1,0,0,1
10,1,10,4,19,0,19000.0,1,1,0,0,1
6,0,15,1,27,1,153000.0,1,1,0,0,1
9,1,6,6,61,1,458000.0,1,1,0,0,1
6,1,11,5,40,1,78000.0,1,1,0,0,1
6,0,13,3,77,1,59600.0,1,1,0,0,1
6,1,10,3,37,1,66500.0,1,1,0,0,1
